acct_id,bal_date,balance
bd7792a7,20130429,10.0
bd7792a7,20130429,5.0
bd7792a7,20130430,4.0
ead948e6,20131130,3.0
bd7792a7,20130422,5.0
dba4a356,20131130,13.0
a294d6c4,20131130,3.0
20641159,20131130,2.0
3cbca000,20130508,5.0
16ec6d57,20130502,5.0
c9f0b0b0,20131130,3.0
8aabfdac,20130521,5.0
ef8e9d32,20140703,5.0
bd7792a7,20130524,7.0
bd7792a7,20130524,6.8
bd7792a7,20130524,9.0
f6f18a1c,20131130,2.0
bd7792a7,20130528,7.8
bd7792a7,20130528,7.6
1e175d13,20131113,6.8
1e175d13,20131113,6.6
ac22657e,20131130,31.9
210357a8,20140703,60.0
22f1e87d,20130509,5.0
bd7792a7,20130531,8.2
bd7792a7,20130531,8.4
0fa56128,20140703,605.9988
8599390c,20131130,3.0
a7d91178,20131130,2.0
1e3467ba,20140703,2117.49814
16ec6d57,20130601,4.0
bd7792a7,20130531,8.6
bd7792a7,20130605,7.8
22f1e87d,20130605,10.0
510568a9,20131130,4.0
bd7792a7,20130601,7.2
b7c71043,20131113,105.2229
b7c71043,20131113,105.0229
5abf2eab,20131130,4.0
22f1e87d,20130606,15.0
bd7792a7,20130606,8.6
bd7792a7,20130606,8.8
22f1e87d,20130604,7.0
bd7792a7,20130605,8.0
bd7792a7,20130605,8.2
c5ffc208,20131130,4.0
7de85338,20131130,4.0
4ab61e07,20131130,8.95
c3af26fe,20131130,4.0
68a3a3fc,20131130,4.0
bd7792a7,20130606,8.4
bd7792a7,20130607,9.4
409d0196,20131130,4.0
c7a10a07,20131130,4.0
7ad0f7ba,20131130,4.0
5730b681,20140117,784.0
d74bbf27,20131130,4.0
bd7792a7,20130607,9.0
bd7792a7,20130607,9.2
342b343c,20131130,4.0
3bc1d2a6,20131130,14.0
286f8618,20131130,4.0
680393bf,20131130,4.0
d5be248d,20131130,4.0
1d16784f,20131130,4.0
3f7653c6,20130610,5.0
790fae3a,20140117,5.0
240a010c,20131130,4.0
30d2ede0,20140109,5.0
bd7792a7,20130610,10.0
bd7792a7,20130610,11.0
bd7792a7,20130610,10.6
bd7792a7,20130610,10.8
15d799ce,20131130,4.0
1889c286,20131130,4.0
01853b3e,20131130,105.10811
335ba241,20131130,24.0
136bf509,20131130,204.83928
f3cf6470,20140109,500.0
78053e91,20131130,4.0
8ef278cb,20131130,16.49032
1161282b,20131130,115.99489
efe2473f,20140109,5.0
b1fd544c,20131130,105.26206
df08fa55,20131126,30.0
3c29add4,20131126,510.25026
43ecbfe4,20131126,5.0
3cb6381f,20131130,65.44443
45719fff,20131130,7.7
3e5b6835,20131130,275.88211
3c29add4,20131130,10.26022
a1c54916,20131130,262.4535
1a3c0526,20131130,10.65206
01fdbaf2,20131130,356.14346
4752272f,20131126,4.8
2d3d08fe,20131126,5.0
bd7792a7,20140428,7.6
bd7792a7,20140428,7.3
085e094e,20131130,14.50522
dcb8a878,20131130,30.32805
6e1a6cce,20131130,256.18003
d74f8c71,20131130,15.01558
6e1a6cce,20131126,255.68418
70a5adaa,20140428,48.0
70a5adaa,20140428,47.7
df032a75,20131126,5.0
55c72867,20140428,5.0
c49f1569,20140428,5.0
1f5893b8,20140428,5.0
954a034b,20140109,55.0
20667d6c,20131130,205.4757
bd7792a7,20130612,10.2
bd7792a7,20130612,9.8
bd7792a7,20130612,9.8
bd7792a7,20130612,9.6
bd7792a7,20130612,11.6
bd7792a7,20130612,10.6
bd7792a7,20130612,10.4
b7c71043,20131130,75.17488
0253e3e9,20140428,384.50904
0253e3e9,20140428,383.50904
80c2bb28,20140428,252.0
