acct_id,tx_date,amount,type
bd7792a7,20130422,5.0,fee_pos_pos_kit
bd7792a7,20130429,5.0,sys_rev_of_dr
bd7792a7,20130429,-5.0,pos_wd_cash
3cbca000,20130508,5.0,sys_rev_of_dr
a294d6c4,20131130,-1.0,pos_wd_cash
20641159,20131130,-1.0,pos_wd_cash
8aabfdac,20130521,5.0,sys_rev_of_dr
ead948e6,20131130,-1.0,pos_wd_cash
dba4a356,20131130,-1.0,pos_wd_cash
1e175d13,20131113,-15.0,pos_wd_cash
1e175d13,20131113,-0.2,fee_pos_wd_cash
c9f0b0b0,20131130,-1.0,pos_wd_cash
bd7792a7,20130524,-2.0,pos_wd_cash
bd7792a7,20130524,-0.2,fee_pos_wd_cash
bd7792a7,20130524,5.0,dep_pos_cash
1e3467ba,20140703,-100.0,wd_atm_cash
16ec6d57,20130502,5.0,sys_rev_of_dr
f6f18a1c,20131130,-1.0,pos_wd_cash
ef8e9d32,20140703,5.0,sys_rev_of_dr
bd7792a7,20130528,1.0,dep_pos_cash
bd7792a7,20130528,-0.2,fee_pos_bal_inq
ac22657e,20131130,-1.0,pos_wd_cash
210357a8,20140703,60.0,sys_rev_of_dr
0fa56128,20140703,300.0,dep_pos_cash
22f1e87d,20130509,5.0,sys_rev_of_dr
8599390c,20131130,-1.0,pos_wd_cash
a7d91178,20131130,-1.0,pos_wd_cash
bd7792a7,20130531,-0.2,fee_pos_mini_stmt
bd7792a7,20130531,-0.2,fee_pos_bal_inq
bd7792a7,20130531,1.0,dep_pos_cash
bd7792a7,20130430,-1.0,pos_wd_cash
b7c71043,20131113,-50.0,pos_wd_cash
b7c71043,20131113,-0.2,fee_pos_wd_cash
22f1e87d,20130604,2.0,dep_pos_cash
5abf2eab,20131130,-1.0,pos_wd_cash
bd7792a7,20130605,-0.2,fee_pos_mini_stmt
c3af26fe,20131130,-1.0,pos_wd_cash
22f1e87d,20130605,3.0,dep_pos_cash
bd7792a7,20130605,-0.2,fee_pos_bal_inq
510568a9,20131130,-1.0,pos_wd_cash
68a3a3fc,20131130,-1.0,pos_wd_cash
bd7792a7,20130605,1.0,sys_rev_of_dr
7de85338,20131130,-1.0,pos_wd_cash
16ec6d57,20130601,-1.0,pos_wd_cash
22f1e87d,20130606,5.0,dep_pos_cash
c5ffc208,20131130,-1.0,pos_wd_cash
bd7792a7,20130606,-0.2,fee_pos_bal_inq
bd7792a7,20130606,1.0,dep_pos_cash
7ad0f7ba,20131130,-1.0,pos_wd_cash
bd7792a7,20130606,-0.2,fee_pos_mini_stmt
409d0196,20131130,-1.0,pos_wd_cash
bd7792a7,20130607,-0.2,fee_pos_mini_stmt
bd7792a7,20130607,-0.2,fee_pos_bal_inq
bd7792a7,20130607,1.0,dep_pos_cash
c7a10a07,20131130,-1.0,pos_wd_cash
5730b681,20140117,-150.0,wd_atm_cash
d5be248d,20131130,-1.0,pos_wd_cash
d74bbf27,20131130,-1.0,pos_wd_cash
4ab61e07,20131130,-1.0,pos_wd_cash
342b343c,20131130,-1.0,pos_wd_cash
3bc1d2a6,20131130,-1.0,pos_wd_cash
335ba241,20131130,-1.0,pos_wd_cash
bd7792a7,20130601,-1.0,pos_wd_cash
240a010c,20131130,-1.0,pos_wd_cash
1d16784f,20131130,-1.0,pos_wd_cash
f3cf6470,20140109,500.0,dep_pos_cash
3f7653c6,20130610,5.0,sys_rev_of_dr
bd7792a7,20130610,1.0,dep_pos_cash
bd7792a7,20130610,1.0,dep_pos_cash
bd7792a7,20130610,-0.2,fee_pos_mini_stmt
bd7792a7,20130610,-0.2,fee_pos_bal_inq
790fae3a,20140117,5.0,sys_rev_of_dr
01853b3e,20131130,0.18461,sys_int_pmt
286f8618,20131130,-1.0,pos_wd_cash
15d799ce,20131130,-1.0,pos_wd_cash
136bf509,20131130,0.03928,sys_int_pmt
78053e91,20131130,-1.0,pos_wd_cash
3c29add4,20131130,0.20996,sys_int_pmt
1889c286,20131130,-1.0,pos_wd_cash
680393bf,20131130,-1.0,pos_wd_cash
8ef278cb,20131130,0.0644,sys_int_pmt
df08fa55,20131126,15.0,dep_pos_cash
3c29add4,20131126,500.0,dep_pos_cash
3cb6381f,20131130,0.1611,sys_int_pmt
1161282b,20131130,0.37102,sys_int_pmt
b1fd544c,20131130,0.1581,sys_int_pmt
43ecbfe4,20131126,5.0,sys_rev_of_dr
30d2ede0,20140109,5.0,sys_rev_of_dr
4752272f,20131126,-0.05,fee_mob_mini_stmt
2d3d08fe,20131126,5.0,sys_rev_of_dr
01fdbaf2,20131130,1.00234,sys_int_pmt
efe2473f,20140109,5.0,sys_rev_of_dr
45719fff,20131130,-1.0,pos_wd_cash
df032a75,20131126,5.0,sys_rev_of_dr
bd7792a7,20140428,-20.0,txfr_mob_cardless_remit
bd7792a7,20140428,-0.3,fee_mob_cardless_remit
1a3c0526,20131130,0.0174,sys_int_pmt
6e1a6cce,20131130,0.49585,sys_int_pmt
e3dd02ce,20131130,0.0218,sys_int_pmt
3e5b6835,20131130,0.7914,sys_int_pmt
55c72867,20140428,5.0,sys_rev_of_dr
c49f1569,20140428,5.0,sys_rev_of_dr
1f5893b8,20140428,5.0,sys_rev_of_dr
70a5adaa,20140428,-250.0,pos_wd_cash
70a5adaa,20140428,-0.3,fee_pos_wd_cash
954a034b,20140109,-100.0,wd_atm_cash
a1c54916,20131130,0.7913,sys_int_pmt
0253e3e9,20140428,-50.0,wd_atm_cash
0253e3e9,20140428,-1.0,wd_atm_cash
085e094e,20131130,0.05522,sys_int_pmt
d74f8c71,20131130,0.01558,sys_int_pmt
6e1a6cce,20131126,100.0,dep_pos_cash
bd7792a7,20130612,-0.2,fee_pos_bal_inq
bd7792a7,20130612,-0.2,fee_pos_bal_inq
bd7792a7,20130612,-1.0,pos_wd_cash
bd7792a7,20130612,-0.2,fee_pos_wd_cash
bd7792a7,20130612,1.0,dep_pos_cash
bd7792a7,20130612,-1.0,pos_wd_cash
bd7792a7,20130612,-0.2,fee_pos_wd_cash
dcb8a878,20131130,0.15043,sys_int_pmt
bd7792a7,20130612,-0.2,fee_pos_mini_stmt
b7c71043,20131130,0.35198,sys_int_pmt
80c2bb28,20140428,60.0,dep_pos_cash
20667d6c,20131130,0.52404,sys_int_pmt
bd7792a7,20130612,1.0,dep_pos_cash
126e069d,20140428,-40.0,wd_atm_cash
d74bbf27,20131126,5.0,sys_rev_of_dr
e3dd02ce,20131126,-2.0,topup_mobile
f7e847d4,20131126,5.0,dep_pos_cash
e3dd02ce,20131126,50.0,dep_pos_cash
6ed2ce94,20140428,-30.0,pos_wd_cash
6ed2ce94,20140428,-0.3,fee_pos_wd_cash
bd7792a7,20130617,1.0,dep_pos_cash
bd7792a7,20130617,-1.0,pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_bal_inq
bd7792a7,20130617,-1.0,pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_wd_cash
bd7792a7,20130617,-0.2,fee_pos_mini_stmt
2736da93,20131130,0.01968,sys_int_pmt
3bac45f7,20131130,0.051,sys_int_pmt
3f7653c6,20130617,-5.0,pos_wd_cash
3f7653c6,20130617,-0.2,fee_pos_wd_cash
bd6047ee,20131130,0.05822,sys_int_pmt
df08fa55,20131130,0.01806,sys_int_pmt
43ecbfe4,20131130,0.01232,sys_int_pmt
80c2bb28,20140109,5.0,sys_rev_of_dr
87032a32,20140109,10.0,dep_pos_cash
