date,gameid,hometeam,pitcherteam,total_pitches
3/28/2019,565799,LAD,ARI,144
3/28/2019,566086,OAK,OAK,118
3/28/2019,566275,SD,SD,108
3/28/2019,566962,MIN,MIN,111
3/28/2019,567059,PHI,ATL,148
3/28/2019,567359,MIA,COL,121
3/28/2019,567456,NYY,BAL,164
3/28/2019,567552,MIL,MIL,145
3/28/2019,565220,CIN,CIN,166
3/28/2019,565220,CIN,PIT,115
3/28/2019,565702,KC,KC,136
3/28/2019,565799,LAD,LAD,125
3/28/2019,565895,WSH,NYM,139
3/28/2019,566372,SEA,BOS,187
3/28/2019,566664,TB,HOU,124
3/28/2019,566763,TEX,CHC,132
3/28/2019,566864,TOR,TOR,137
3/28/2019,566962,MIN,CLE,92
3/28/2019,567456,NYY,NYY,135
3/28/2019,566086,OAK,LAA,103
3/28/2019,566275,SD,SF,102
3/28/2019,566864,TOR,DET,108
3/28/2019,567359,MIA,MIA,149
3/28/2019,565702,KC,CWS,156
3/28/2019,565895,WSH,WSH,135
3/28/2019,566372,SEA,SEA,142
3/28/2019,566664,TB,TB,145
3/28/2019,566763,TEX,TEX,177
3/28/2019,567059,PHI,PHI,156
3/28/2019,567552,MIL,STL,127
3/29/2019,565800,LAD,ARI,218
3/29/2019,565800,LAD,LAD,189
3/29/2019,566087,OAK,LAA,139
3/29/2019,566276,SD,SD,149
3/29/2019,566665,TB,HOU,133
3/29/2019,567553,MIL,MIL,190
3/29/2019,566276,SD,SF,142
3/29/2019,566373,SEA,SEA,149
3/29/2019,567360,MIA,COL,135
3/29/2019,566665,TB,TB,130
3/29/2019,566865,TOR,DET,138
3/29/2019,567360,MIA,MIA,147
3/29/2019,566087,OAK,OAK,136
3/29/2019,566373,SEA,BOS,146
3/29/2019,566865,TOR,TOR,114
3/29/2019,567553,MIL,STL,151
3/30/2019,565801,LAD,ARI,181
3/30/2019,565801,LAD,LAD,146
3/30/2019,566866,TOR,TOR,164
3/30/2019,566963,MIN,CLE,136
3/30/2019,567457,NYY,BAL,182
3/30/2019,567554,MIL,MIL,145
3/30/2019,565703,KC,CWS,153
3/30/2019,565896,WSH,WSH,188
3/30/2019,566088,OAK,LAA,123
3/30/2019,566088,OAK,OAK,146
3/30/2019,566277,SD,SF,134
3/30/2019,566374,SEA,SEA,145
3/30/2019,566666,TB,HOU,123
3/30/2019,566764,TEX,CHC,186
3/30/2019,566963,MIN,MIN,141
3/30/2019,567060,PHI,ATL,164
3/30/2019,567457,NYY,NYY,140
3/30/2019,567060,PHI,PHI,158
3/30/2019,567361,MIA,MIA,147
3/30/2019,567554,MIL,STL,147
3/30/2019,565703,KC,KC,154
3/30/2019,565800,LAD,ARI,44
